"CO2 emisija, g/km",Color,Body type,Price,Catalytic converter,Tinted windows,First registration,Driven wheels,Fuel type,LED headlights,ESP,Fog lights,Number of seats,Mileage,Gearbox,Alarm,Electric mirrors,Heated mirrors,Lane Departure Warning,Fuel consuption Urban l/100 km,Boot cover,Start-Stop system,Tow hook,LED daytime running lights,Immobilizer,Hill-start assist control,Multifunctional steering wheel,Adaptive Cruise Control,Automatic headlamps,LCD monitor,MP3 player,Road sign recognition,Dimming mirror,AUX input,URL,ISOFIX mounts,Fuel consuption combined l/100 km,Rainfall sensor,Traction control system,Rear view camera,Cruise control,First registration country,Electric seats,Fuel consuption out-of-city l/100 km,Make,Model,Engine Power KW,Engine size in Cm3,car_id
172,Gray / silver,Saloon / sedan,600,0,0,2003,0,Diesel,0,0,0,0,364071,Automatic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,1,0,0,0,Volvo,S80,120.0,Low,44
162,Red / crimson,Saloon / sedan,600,0,0,1994,Front wheel drive (FWD),Petrol,0,0,0,5,250000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Audi,80,85.0,Low,45
181,Green / olive,Hatchback,600,0,0,1996,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,363012,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A3,116.0,Low,46
0,White,Commercial,600,0,0,1995,Front wheel drive (FWD),Diesel,0,0,0,5,394691,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Volkswagen,Transporter,57.0,Very Low,47
175,Blue,Wagon,600,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,354000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,France,0,0,Volvo,V70,120.0,Low,48
172,Gray / silver,Saloon / sedan,600,0,0,2003,0,Diesel,0,0,0,0,364071,Automatic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,1,0,0,0,Volvo,S80,120.0,Low,49
162,Red / crimson,Saloon / sedan,600,0,0,1994,Front wheel drive (FWD),Petrol,0,0,0,5,250000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Audi,80,85.0,Low,50
181,Green / olive,Hatchback,600,0,0,1996,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,363012,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A3,116.0,Low,51
0,White,Commercial,600,0,0,1995,Front wheel drive (FWD),Diesel,0,0,0,5,394691,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Volkswagen,Transporter,57.0,Very Low,52
172,Black,Wagon,630,0,0,2002,Front wheel drive (FWD),Diesel,0,0,1,5,388000,Automatic,0,1,1,0,"8,9",0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-v70-2-4-l-wagon-2002-diesel-27218035.html,0,"6,7",1,0,0,1,0,0,54,Volvo,V70,120.0,Low,53
155,Gray / silver,Limousine,630,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299000,Manual,0,0,0,0,"7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-s80-2-5-l-limousine-2000-diesel-27187653.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S80,103.0,Very Low,54
172,Black,Wagon,630,0,0,2002,Front wheel drive (FWD),Diesel,0,0,1,5,388000,Automatic,0,1,1,0,"8,9",0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,7",1,0,0,1,0,0,54,Volvo,V70,120.0,Low,55
155,Gray / silver,Limousine,630,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299000,Manual,0,0,0,0,"7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S80,103.0,Very Low,56
172,Black,Wagon,630,0,0,2002,Front wheel drive (FWD),Diesel,0,0,1,5,388000,Automatic,0,1,1,0,"8,9",0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,7",1,0,0,1,0,0,54,Volvo,V70,120.0,Low,57
155,Gray / silver,Limousine,630,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299000,Manual,0,0,0,0,"7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S80,103.0,Very Low,58
172,Black,Wagon,630,0,0,2002,Front wheel drive (FWD),Diesel,0,0,1,5,388000,Automatic,0,1,1,0,"8,9",0,0,1,0,0,0,1,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,7",1,0,0,1,0,0,54,Volvo,V70,120.0,Low,59
155,Gray / silver,Limousine,630,0,0,2000,Front wheel drive (FWD),Diesel,0,0,0,5,299000,Manual,0,0,0,0,"7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S80,103.0,Very Low,60
0,Gray / silver,Saloon / sedan,650,0,0,2005,Front wheel drive (FWD),Petrol,0,0,0,5,390000,Automatic,0,0,0,0,"13,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-s60-2-4-l-saloon-sedan-2005-petrol-27130723.html,0,"9,5",0,0,0,0,0,0,71,Volvo,S60,125.0,Very Low,61
